Cert Number,Card Ladder Value
108277927,32.32
90876603,60.64
60592994,32.91
116906506,21.54
86625844,73.77
50677418,24.44
82603184,31.92
88053799,30.32
131133428,43.22
126570125,43.22
120305782,28.74
127212445,121.27
78643021,60.64
126533147,110.17
129015700,41.68
77886246,30.32
118226611,60.64
125966156,30.32
92219448,60.64
127413851,33.89
58122324,30.32
93475749,30.32
100110786,23.00
128360939,30.32
121015902,23.00
06586332,30.32
126786360,29.92
129810511,121.27
62228530,30.32
97457488,23.00
66664381,30.32
93870050,676.44
114546892,121.27
129075267,38.97
110661101,64.38
98336004,61.13
121306904,86.43
55634818,14.66
94254657,30.32
122420263,25.06
132218364,32.81
122396560,32.81
116841198,53.64
122945386,26.14
69726069,14.84
124958290,33.88
84450224,29.54
117857477,30.52
107872621,29.54
78099993,29.54
120218234,29.54
127798650,33.88
101375329,32.81
123732196,23.37
130507021,32.81
60346770,23.37
44161828,23.05
129135918,32.81
130648369,32.81
129982109,37.57
75407904,28.90
119593700,45.07
127598444,65.62
51483399,10.67
97870632,64.17
122366634,29.34
124657330,59.08
58458529,29.54
127446826,32.81
98683989,23.27
96536451,29.54
134919164,29.54
128790498,29.54
119321007,32.81
66972924,51.11
94569099,29.54
73032468,64.37
55068456,29.54
119567008,23.37
129269532,59.08
125883492,43.22
121564369,29.54
111112164,118.16
126182361,131.24
123756712,33.61
55291862,131.24
129000975,60.86
120883321,59.08
128436842,140.34
121586728,59.08
75892318,121.65
126835344,67.56
127727884,31.28
113153228,29.54
117642069,32.81
119641378,29.54
80381916,28.90
121062861,29.54
96754518,29.54
125430573,29.54
120091654,26.33
124220252,78.81
126862038,30.41
92624086,29.54
71405301,27.10
74080761,118.16
104379880,72.95
124559582,29.54
127761580,32.81
123996520,72.95
127488675,29.54
57053048,29.54
114509078,33.61
130475443,59.79
114623880,29.54
99381546,86.43
131678395,59.08
78327288,59.08
127913908,118.16
93058976,80.51
124958157,131.24
127001109,29.54
130468029,30.43
121179806,29.54
125749399,61.38
95644829,145.89
126078550,29.54
121894494,23.27
72229381,29.54
129373688,29.04
92041695,32.81
123854246,36.44
126162448,29.90
78856785,32.81
115041713,33.88
48069635,42.10
129136102,32.81
104120613,32.81
06116775,27.09
62661717,33.61
87016847,17.86
128823690,30.43
61714728,34.00
110401242,32.81
88218753,32.81
124803944,32.81
97851941,29.54
123729984,72.95
85494873,27.25
128508603,32.85
127719322,33.31
123286421,29.54
128744412,39.32
77252085,29.54
79068418,33.33
134419918,29.20
128247369,29.20
122724861,121.88
122517630,64.50
123129664,58.39
129502738,103.81
120550446,31.98
127586262,29.77
118287614,27.19
92364937,33.13
118743680,29.74
116075467,73.77
110263561,32.60
96976884,29.20
88923199,36.15
130376957,33.64
128065179,32.60
121604123,29.20
134637538,44.16
116882288,29.20
48909018,33.43
116428945,29.20
121835625,29.20
59921136,29.20
79934192,29.20
102781243,29.20
121848899,29.20
127553237,29.20
126881985,29.20
98756559,24.25
108001249,54.69
107459292,23.21
125217583,30.32
126872404,33.28
69915595,28.44
53599403,16.06
93531160,23.11
116075945,32.48
129502639,32.48
126507156,32.48
123759827,56.87
51185781,32.48
74388962,113.75
63214744,92.45
106323732,28.73
48927388,11.05
129502737,50.53
50987069,33.08
125592908,28.23
105965654,28.23
126244904,32.41
128186875,56.47
78742845,33.08
129616468,24.45
92541650,26.59
109708283,10.22
117466332,28.23
128263912,28.23
121331452,31.39
127054457,38.61
116304375,28.23
127905442,32.41
126468998,28.23
107701051,18.92
98317127,21.95
129872987,43.16
127845813,26.81
112790909,226.48
121212444,124.36
86653515,81.80
85033305,33.40
53529355,33.08
84910065,56.47
128039606,19.10
76203997,28.23
135166560,28.23
53623238,32.41
128232955,23.99
131538341,109.21
75071317,112.94
133633605,40.87
122478771,28.23
134420889,54.60
122850625,28.23
131819563,28.23
129048504,48.73
122457334,28.23
137287302,35.16
59405687,55.70
118694465,27.85
103497599,111.39
48952592,32.41
131852591,48.53
105092056,38.06
125042722,30.15
92704057,38.87
128720334,54.96
127972664,40.22
112159640,54.02
96317014,27.01
122853497,108.05
141134299,27.34
133708305,27.34
140715962,27.34
78917371,39.86
108908147,26.36
138619127,68.88
108467582,26.23
138608437,74.53
131459261,105.30
138530362,37.26
128011117,37.26
138075607,37.26
143359257,37.26
127660248,25.98
138869840,27.95
120132593,26.03
127898157,32.70
149566030,124.42
98612355,25.27
108972838,25.27
121625493,32.42
147788716,622.09
143939935,101.07
128104210,29.16
126331507,25.87
41889943,24.32
63973540,100.30
02173304,57.93
55732607,124.73
132744535,27.85
60311275,23.53
132067683,27.43
42633525,23.73
